date,net_asset_value
2020-01-02,10000000.00
2020-01-03,10000000.00
2020-01-06,10000000.00
2020-01-07,10000000.00
2020-01-08,10000000.00
2020-01-09,10000000.00
2020-01-10,10000000.00
2020-01-13,10000000.00
2020-01-14,10000000.00
2020-01-15,10000000.00
2020-01-16,10000000.00
2020-01-17,10000000.00
2020-01-20,10000000.00
2020-01-21,10000000.00
2020-01-22,10000000.00
2020-01-23,10000000.00
2020-02-03,10000000.00
2020-02-04,10000000.00
2020-02-05,10000000.00
2020-02-06,10000000.00
2020-02-07,10000000.00
2020-02-10,10000000.00
2020-02-11,10000000.00
2020-02-12,10000000.00
2020-02-13,10000000.00
2020-02-14,9964000.00
2020-02-17,10033840.00
2020-02-18,9916000.00
2020-02-19,10066000.00
2020-02-20,10324000.00
2020-02-21,10262560.00
2020-02-24,9954160.00
2020-02-25,9805720.00
2020-02-26,9792400.00
2020-02-27,9956680.00
2020-02-28,9592000.00
2020-03-02,9592000.00
2020-03-03,9592000.00
2020-03-04,9592000.00
2020-03-05,10054880.00
2020-03-06,9884380.00
2020-03-09,9427990.00
2020-03-10,9889880.00
2020-03-11,9917600.00
2020-03-12,9697380.00
2020-03-13,9406210.00
2020-03-16,8910880.00
2020-03-17,8669980.00
2020-03-18,8669980.00
2020-03-19,8669980.00
2020-03-20,8669980.00
2020-03-23,8669980.00
2020-03-24,8669980.00
2020-03-25,8669980.00
2020-03-26,8669980.00
2020-03-27,8669980.00
2020-03-30,8669980.00
2020-03-31,8669980.00
2020-04-01,8669980.00
2020-04-02,8669980.00
2020-04-03,8619443.00
2020-04-07,8814995.00
2020-04-08,8813152.00
2020-04-09,8800930.00
2020-04-10,8863980.00
2020-04-13,8837790.00
2020-04-14,9058950.00
2020-04-15,9102600.00
2020-04-16,9175350.00
2020-04-17,9455680.00
2020-04-20,9468290.00
2020-04-21,9203480.00
2020-04-22,9635130.00
2020-04-23,9710402.00
2020-04-24,9693912.00
2020-04-27,9940680.00
2020-04-28,9971041.00
2020-04-29,9930010.00
2020-04-30,9840770.00
2020-05-06,10173480.00
2020-05-07,10289880.00
2020-05-08,10315197.00
2020-05-11,10396677.00
2020-05-12,10493580.00
2020-05-13,10522195.00
2020-05-14,10431403.00
2020-05-15,10299580.00
2020-05-18,10621717.00
2020-05-19,10620747.00
2020-05-20,10668180.00
2020-05-21,10814650.00
2020-05-22,10447020.00
2020-05-25,10783610.00
2020-05-26,10736080.00
2020-05-27,10542080.00
2020-05-28,10600280.00
2020-05-29,10819500.00
2020-06-01,11332630.00
2020-06-02,11247367.00
2020-06-03,11136690.00
2020-06-04,11220983.00
2020-06-05,11385980.00
2020-06-08,11202650.00
2020-06-09,11304015.00
2020-06-10,11372982.00
2020-06-11,11147942.00
2020-06-12,11302269.00
2020-06-15,10978580.00
2020-06-16,11181116.00
2020-06-17,11191980.00
2020-06-18,11269580.00
2020-06-19,11529928.00
2020-06-22,11521780.00
2020-06-23,11866130.00
2020-06-24,11890768.00
2020-06-29,11921420.00
2020-06-30,11918607.00
2020-07-01,12223090.00
2020-07-02,12705471.00
2020-07-03,12684034.00
2020-07-06,13248671.00
2020-07-07,14102271.00
2020-07-08,14037669.00
2020-07-09,14276871.00
2020-07-10,14353016.00
2020-07-13,15013974.00
2020-07-14,14820071.00
2020-07-15,14728212.00
2020-07-16,13384471.00
2020-07-17,13714756.00
2020-07-20,13607183.00
2020-07-21,13908271.00
2020-07-22,14006047.00
2020-07-23,13985871.00
2020-07-24,13203081.00
2020-07-27,13467406.00
2020-07-28,13927671.00
2020-07-29,13927671.00
2020-07-30,13927671.00
2020-07-31,13927671.00
2020-08-03,13927671.00
2020-08-04,13927671.00
2020-08-05,13927671.00
2020-08-06,13927671.00
2020-08-07,13927671.00
2020-08-10,13927671.00
2020-08-11,13927671.00
2020-08-12,13927671.00
2020-08-13,13927671.00
2020-08-14,13927671.00
2020-08-17,13927671.00
2020-08-18,13927671.00
2020-08-19,13756671.00
2020-08-20,13538171.00
2020-08-21,13652171.00
2020-08-24,13845496.00
2020-08-25,14136671.00
2020-08-26,14136671.00
2020-08-27,14174671.00
2020-08-28,14421671.00
2020-08-31,14701921.00
2020-09-01,14848981.00
2020-09-02,14782671.00
2020-09-03,14763671.00
2020-09-04,14545171.00
2020-09-07,14103421.00
2020-09-08,13988471.00
2020-09-09,13766171.00
2020-09-10,13935271.00
2020-09-11,13935271.00
2020-09-14,13935271.00
2020-09-15,13935271.00
2020-09-16,13935271.00
2020-09-17,13427677.00
2020-09-18,13427677.00
2020-09-21,13427677.00
2020-09-22,13427677.00
2020-09-23,13427677.00
2020-09-24,13427677.00
2020-09-25,13427677.00
2020-09-28,13427677.00
2020-09-29,13427677.00
2020-09-30,13427677.00
2020-10-09,13427677.00
2020-10-12,13427677.00
2020-10-13,13427677.00
2020-10-14,13338677.00
2020-10-15,13303077.00
2020-10-16,13187377.00
2020-10-19,13071677.00
2020-10-20,13383177.00
2020-10-21,13377214.00
2020-10-22,13458827.00
2020-10-23,13217014.00
2020-10-26,12573277.00
2020-10-27,12413077.00
2020-10-28,12767386.00
2020-10-29,12767386.00
2020-10-30,12767386.00
2020-11-02,12767386.00
2020-11-03,12767386.00
2020-11-04,12767386.00
2020-11-05,12767386.00
2020-11-06,12767386.00
2020-11-09,12767386.00
2020-11-10,12788041.00
2020-11-11,12672016.00
2020-11-12,12701256.00
2020-11-13,12448041.00
2020-11-16,12660966.00
2020-11-17,12539841.00
2020-11-18,12351566.00
2020-11-19,12577156.00
2020-11-20,12575201.00
2020-11-23,13172326.00
2020-11-24,12945291.00
2020-11-25,12634021.00
2020-11-26,12697856.00
2020-11-27,12727691.00
2020-11-30,12523776.00
2020-12-01,12720041.00
2020-12-02,12728626.00
2020-12-03,12822041.00
2020-12-04,13196976.00
2020-12-07,13360941.00
2020-12-08,13680541.00
2020-12-09,13595541.00
2020-12-10,13535191.00
2020-12-11,13425541.00
2020-12-14,13502041.00
2020-12-15,13391626.00
2020-12-16,13595541.00
2020-12-17,13812376.00
2020-12-18,13638041.00
2020-12-21,13616791.00
2020-12-22,13944041.00
2020-12-23,13609566.00
2020-12-24,13513431.00
2020-12-25,13510541.00
2020-12-28,13876041.00
2020-12-29,13825041.00
2020-12-30,14386041.00
2020-12-31,14938541.00
2021-01-04,14930041.00
2021-01-05,15460866.00
2021-01-06,15805541.00
2021-01-07,16145541.00
2021-01-08,15720541.00
2021-01-11,15803246.00
2021-01-12,16323191.00
2021-01-13,16349541.00
2021-01-14,16094541.00
2021-01-15,15652541.00
2021-01-18,15491041.00
2021-01-19,15035526.00
2021-01-20,15300896.00
2021-01-21,15550541.00
2021-01-22,15635116.00
2021-01-25,16443041.00
2021-01-26,16161606.00
2021-01-27,15712041.00
2021-01-28,15703541.00
2021-01-29,15943071.00
2021-02-01,15884761.00
2021-02-02,16188041.00
2021-02-03,16569776.00
2021-02-04,17682766.00
2021-02-05,17616041.00
2021-02-08,18090341.00
2021-02-09,18835196.00
2021-02-10,20064041.00
2021-02-18,18959041.00
2021-02-19,18865541.00
2021-02-22,17403711.00
2021-02-23,17565041.00
2021-02-24,16562041.00
2021-02-25,16230541.00
2021-02-26,15999171.00
2021-03-01,15999171.00
2021-03-02,15999171.00
2021-03-03,15999171.00
2021-03-04,15999171.00
2021-03-05,15999171.00
